Sample date,Amount,Notes,CC (pg/well),%Binding,CF,dilution,CC (pg/ml),CC (pg/g),CC (ng/g),construction_status,name,construction_dummy
2015-07-10,0.5076,NA,66.55,56.056,20,75,99825,196660.756501182,196.66075650118202,Active Construction,Sabrena,1
2015-07-13,0.4875,NA,54.13,59.699,20,75,81195.00000000001,166553.84615384619,166.5538461538462,Active Construction,Sabrena,1
2015-07-15,0.4992,NA,65.948,56.218,20,75,98921.99999999999,198161.05769230766,198.16105769230765,Active Construction,Sabrena,1
2015-07-17,0.4987,NA,56.553,67.586,20,75,84829.5,170101.2632845398,170.1012632845398,Active Construction,Sabrena,1
2015-07-22,0.4966,NA,38.466,65.495,20,75,57699.00000000001,116188.07893677005,116.18807893677005,Active Construction,Sabrena,1
2015-07-27,0.5014,NA,70.44,55.044,20,75,105660,210729.95612285603,210.72995612285604,Active Construction,Sabrena,1
2015-07-29,0.5114,NA,151.576,41.578,20,75,227364,444591.3179507235,444.5913179507235,Active Construction,Sabrena,1
2015-07-31,0.518,NA,86.598,51.352,20,75,129897,250766.40926640926,250.76640926640925,Active Construction,Sabrena,1
2015-08-05,0.5035,Tube broke 2nd ext; AM,147.401,45.455,20,75,221101.50000000003,439129.0963257201,439.12909632572007,Active Construction,Sabrena,1
2015-08-07,0.4816,AM,110.566,51.913,20,75,165849,344370.84717607975,344.37084717607974,Active Construction,Sabrena,1
2015-08-12,0.4911,AM,154.288,44.473,20,75,231432.00000000003,471252.2907758095,471.2522907758095,Active Construction,Sabrena,1
2015-08-14,0.5084,NA,157.168,44.08,20,75,235752,463713.61132966174,463.7136113296617,Active Construction,Sabrena,1
2015-08-16,0.5092,NA,105.733,48.863,20,75,158599.5,311467.98900235665,311.46798900235666,Active Construction,Sabrena,1
2015-08-18,0.5038,NA,198.817,37.114,20,75,298225.5,591952.163556967,591.9521635569671,Active Construction,Sabrena,1
2015-08-24,0.4932,0.60416666666666663,53.732,62.257,20,75,80597.99999999999,163418.49148418487,163.41849148418487,Active Construction,Sabrena,1
2015-08-26,0.4917,NA,56.505,61.285,20,75,84757.50000000001,172376.44905430143,172.37644905430142,Active Construction,Sabrena,1
2015-08-31,0.511,0.65625,57.292,61.016,20,75,85938.00000000001,168176.12524461842,168.17612524461842,Active Construction,Sabrena,1
2015-09-02,0.5095,0.66666666666666663,112.193,46.755,20,75,168289.5,330303.23846908734,330.3032384690873,Active Construction,Sabrena,1
2015-09-07,0.501,AM,90.756,50.515,20,75,136134,271724.55089820357,271.7245508982036,Active Construction,Sabrena,1
2015-09-11,0.4864,AM,137.815,43.189,20,75,206722.5,425005.1398026316,425.00513980263156,Active Construction,Sabrena,1
2015-09-16,0.4802,0.60416666666666663,88.919,50.88,20,75,133378.5,277756.143273636,277.756143273636,Active Construction,Sabrena,1
2015-09-18,0.4981,NA,119.274,45.684,20,75,178911,359186.91025898413,359.18691025898414,Active Construction,Sabrena,1
2015-09-21,0.5187,AM,90.278,50.609,20,75,135417,261069.98264893,261.06998264892997,Active Construction,Sabrena,1
2015-09-28,0.4839,NA,88.928,50.878,20,75,133392,275660.2603843769,275.6602603843769,Active Construction,Sabrena,1
2014-12-26,0.5106,AM,186.571,40.552,20,75,279856.5,548093.4195064629,548.0934195064629,No Construction,Sabrena,0
2015-10-03,0.5148,0.64583333333333337,85.574,57.92,20,75,128361,249341.49184149184,249.34149184149183,Active Construction,Sabrena,1
2015-10-07,0.4981,NA,64.833,64.446,20,75,97249.49999999999,195240.9154788195,195.2409154788195,Active Construction,Sabrena,1
2015-10-12,0.5103,0.33333333333333331,75.152,60.986,20,75,112728,220905.3497942387,220.9053497942387,Active Construction,Sabrena,1
2015-10-14,0.4887,AM,65.366,64.255,20,75,98049,200632.28974831183,200.63228974831182,Active Construction,Sabrena,1
2015-10-20,0.4931,AM,126.201,48.89,20,75,189301.5,383900.831474346,383.900831474346,Active Construction,Sabrena,1
2015-10-21,0.4853,AM,134.258,47.504,20,75,201387.00000000003,414974.24273645174,414.97424273645174,Active Construction,Sabrena,1
2015-10-23,0.4923,AM,98.786,54.537,20,75,148179,300993.296770262,300.993296770262,Active Construction,Sabrena,1
2015-10-26,0.4923,AM,120.421,49.953,20,75,180631.5,366913.46739792806,366.91346739792806,Active Construction,Sabrena,1
2015-10-30,0.4904,NA,87.381,52.649,20,75,131071.49999999999,267274.6737357259,267.2746737357259,Active Construction,Sabrena,1
2015-11-02,0.4917,0.60416666666666663,66.754,63.766,20,75,100131.00000000001,203642.46491763272,203.6424649176327,Active Construction,Sabrena,1
2015-11-04,0.5159,AM,152.632,44.704,20,75,228948.00000000003,443783.67900755967,443.78367900755967,Active Construction,Sabrena,1
2015-11-09,0.4958,AM,50.87,69.961,20,75,76305,153902.78338039533,153.90278338039533,Active Construction,Sabrena,1
